Date	GDP growth (year-over-year)	10-year minus 3-month yield spread
3/1/2002	1.41	3.32
6/1/2002	1.43	3.35
9/1/2002	2.23	2.59
12/1/2002	2.03	2.65
3/1/2003	1.59	2.74
6/1/2003	1.99	2.56
9/1/2003	3.22	3.28
12/1/2003	4.34	3.35
3/1/2004	4.44	3.09
6/1/2004	4.25	3.5
9/1/2004	3.42	2.79
12/1/2004	3.12	2.13
3/1/2005	3.63	1.71
6/1/2005	3.4	1.23
9/1/2005	3.34	0.78
12/1/2005	3.04	0.58
3/1/2006	3.16	0.07
6/1/2006	2.92	0.24
9/1/2006	2.18	-0.14
12/1/2006	2.41	-0.4
3/1/2007	1.25	-0.44
6/1/2007	1.71	-0.03
9/1/2007	2.31	0.31
12/1/2007	1.89	0.79
3/1/2008	1.14	1.57
6/1/2008	0.86	2.23
9/1/2008	-0.31	2.34
12/1/2008	-2.81	2.95
3/1/2009	-3.51	2.52
6/1/2009	-4.06	3.14
9/1/2009	-3.28	3.36
12/1/2009	-0.24	3.4
3/1/2010	1.6	3.61
6/1/2010	2.72	3.34
9/1/2010	3.08	2.63
12/1/2010	2.73	2.73
3/1/2011	1.89	3.33
6/1/2011	1.65	3.16
9/1/2011	1.18	2.4
12/1/2011	1.68	2.03
3/1/2012	2.75	1.97
6/1/2012	2.49	1.74
9/1/2012	2.39	1.54
12/1/2012	1.28	1.62
3/1/2013	1.31	1.86
6/1/2013	1.26	1.95
9/1/2013	1.92	2.68
12/1/2013	2.61	2.68
3/1/2014	1.46	2.72
6/1/2014	2.67	2.59
9/1/2014	3.12	2.47
12/1/2014	2.88	2.26
3/1/2015	3.98	1.94
6/1/2015	3.35	2.15
9/1/2015	2.44	2.18
12/1/2015	1.9	2.06
3/1/2016	1.62	1.63
6/1/2016	1.34	1.49
9/1/2016	1.56	1.27
12/1/2016	2.03	1.7
3/1/2017	2.1	1.84
6/1/2017	2.16	1.36
9/1/2017	2.42	1.19
12/1/2017	2.8	1.14
3/1/2018	2.86	1.18
6/1/2018	3.2	1.04
9/1/2018	3.13	0.85
12/1/2018	2.52	0.68
3/1/2019	2.65	0.22
6/1/2019	2.28	-0.02
9/1/2019		
12/1/2019		
3/1/2020		
6/1/2020		
9/1/2020		
